_id,country,name,overallRating,rating.Academics[0],rating.Food[0],rating.Dorms[0],rating.Social[0],rating.Location[0],rating.Opportunities[0],rating.Clubs[0],rating.Safety[0]
658ccbbb738d9d84019c1cfa,BA,American University - BA,,,,,,,,,
658ccbbb738d9d84019c1cfb,US,American University - US,,,,,,,,,
658ccbbb738d9d84019c1cfc,LB,American University College of Technology,,,,,,,,,
658ccbbb738d9d84019c1cfd,JP,American University Extension - Okinawa,,,,,,,,,
658ccbbb738d9d84019c1cfe,BG,American University in Bulgaria,,,,,,,,,
658ccbbb738d9d84019c1cff,EG,American University in Cairo,,,,,,,,,
658ccbbb738d9d84019c1d00,AE,American University in Dubai,,,,,,,,,
658ccbbb738d9d84019c1d01,AE,American University in the Emirates,,,,,,,,,
658ccbbb738d9d84019c1d02,AF,American University of Afghanistan,,,,,,,,,
658ccbbb738d9d84019c1d03,AG,American University of Antigua,,,,,,,,,
658ccbbb738d9d84019c1d04,AM,American University of Armenia,,,,,,,,,
658ccbbb738d9d84019c1d05,LB,American University of Beirut,,,,,,,,,
658ccbbb738d9d84019c1d06,KG,American University of Central Asia,,,,,,,,,
658ccbbb738d9d84019c1d07,PK,American University of Hawaii - Punjab Campus,,,,,,,,,
658ccbbb738d9d84019c1d08,IQ,American University of Iraq Sulaimani - Kurdistan Region,,,,,,,,,
658ccbbb738d9d84019c1d09,KW,American University of Kuwait ,,,,,,,,,
658ccbbb738d9d84019c1d0a,KW,American University of Middle East,,,,,,,,,
658ccbbb738d9d84019c1d0b,FR,American University of Paris,,,,,,,,,
658ccbbb738d9d84019c1d0c,LB,American University of Science and Technology,,,,,,,,,
658ccbbb738d9d84019c1d0d,AE,American University of Sharjah,,,,,,,,,
658ccbbb738d9d84019c1d0e,HT,American University of the Caribbean,,,,,,,,,
658ccbbb738d9d84019c1d0f,BZ,American University of the Caribbean - School of Medicine,,,,,,,,,
658ccbbb738d9d84019c1d10,AN,American University of the Caribbean - Sint Maarten,,,,,,,,,
658ccbbb738d9d84019c1d11,AL,American University of Tirana,,,,,,,,,
658ccbbb738d9d84019c1d12,US,American World University,,,,,,,,,
658ccbbb738d9d84019c1d13,US,American-European School of Management ,,,,,,,,,
658ccbbb738d9d84019c1d14,CY,Americanos College,,,,,,,,,
658ccbbb738d9d84019c1d15,US,Amherst College,,,,,,,,,
658ccbbb738d9d84019c1d16,IR,Amirkabir College of Managmant & Technology,,,,,,,,,
658ccbbb738d9d84019c1d17,IR,Amirkabir University of Technology,,,,,,,,,
658ccbbb738d9d84019c1d18,IN,Amity University,,,,,,,,,
658ccbbb738d9d84019c1d19,JO,Amman Arab University for Higher Studies,,,,,,,,,
658ccbbb738d9d84019c1d1a,JO,Amman University,,,,,,,,,
658ccbbb738d9d84019c1d1b,SO,Amoud University,,,,,,,,,
658ccbbb738d9d84019c1d1c,IN,Amravati University,,,,,,,,,
658ccbbb738d9d84019c1d1d,IN,Amrita Vishwa Vidyapeetham - Deemed University,,,,,,,,,
658ccbbb738d9d84019c1d1e,RU,Amur State University,,,,,,,,,
658ccbbb738d9d84019c1d1f,TR,Anadolu University,,,,,,,,,
658ccbbb738d9d84019c1d20,NG,Anambra State University of Science and Technology,,,,,,,,,
658ccbbb738d9d84019c1d21,US,Anderson College,,,,,,,,,
658ccbbb738d9d84019c1d22,US,Anderson University,,,,,,,,,
658ccbbb738d9d84019c1d23,IN,Andhra University,,,,,,,,,
658ccbbb738d9d84019c1d24,US,Andon College - Modesto,,,,,,,,,
658ccbbb738d9d84019c1d25,US,Andon College - Stockton,,,,,,,,,
658ccbbb738d9d84019c1d26,KR,Andong National University,,,,,,,,,
658ccbbb738d9d84019c1d27,HU,Andrassy Gyula German Speaking University Budapest,,,,,,,,,
658ccbbb738d9d84019c1d28,US,Andrew Jackson University,,,,,,,,,
658ccbbb738d9d84019c1d29,US,Andrews University,,,,,,,,,
658ccbbb738d9d84019c1d2a,PL,Andrzej Frycz Modrzewski Cracow College,,,,,,,,,
658ccbbb738d9d84019c1d2b,PH,Angeles University,,,,,,,,,
658ccbbb738d9d84019c1d2c,US,Angelo State University,,,,,,,,,
658ccbbb738d9d84019c1d2d,KH,Angkor University,,,,,,,,,
658ccbbb738d9d84019c1d2e,GB,Anglia Ruskin University,,,,,,,,,
